City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
212,Bada,RU,51.391209,109.86763,58.68,65,49,4.79,2023-09-24 20:36:03
213,Sabang,ID,5.8927453,95.3225751,79.27,86,100,21.81,2023-09-24 20:36:04
214,Al Jawf,LY,24.1985492,23.2938969,72.0,27,0,5.46,2023-09-24 20:36:04
215,Aasiaat,GL,68.709588,-52.8512976,31.17,59,100,4.88,2023-09-24 20:36:05
216,Klyuchi,RU,56.318218,160.842178,50.68,64,86,1.86,2023-09-24 20:36:05
217,Seoul,KR,37.5666791,126.9782914,77.38,51,0,5.75,2023-09-24 20:36:06
218,Igarka,RU,67.4566185,86.5308425,35.56,77,100,28.39,2023-09-24 20:36:06
219,Lüderitz,NA,-26.6500086,15.157266,54.23,77,90,4.05,2023-09-24 20:36:07
220,Fenoarivo Atsinanana,MG,-17.382029,49.4099733,72.21,77,38,3.11,2023-09-24 20:36:07
221,Buenavista,ES,40.7672996,-5.6112011,44.55,41,1,2.59,2023-09-24 20:36:08
222,San José de Jáchal,AR,-30.2416005,-68.7465881,57.99,62,56,2.42,2023-09-24 20:36:08
223,Jardim Poxoréo,BR,-15.8284778,-54.3952866,81.81,37,28,2.98,2023-09-24 20:36:09
224,North Battleford,CA,52.776186,-108.300476,59.32,41,75,5.75,2023-09-24 20:36:09
225,Oral,KZ,51.2280064,51.40118765626732,57.22,77,0,0.0,2023-09-24 20:36:10
226,San Martín de los Andes,AR,-40.1288005,-71.23378822126672,32.02,92,6,1.01,2023-09-24 20:36:11
227,Lihue,US,21.9769622,-159.3687721,80.24,69,0,18.41,2023-09-24 20:36:11
228,Dawson Creek,CA,55.7605306,-120.2364453,42.58,70,0,0.0,2023-09-24 20:36:12
229,El Porvenir,MX,15.457515,-92.280304,46.04,96,53,1.1,2023-09-24 20:36:12
230,Umluj,SA,25.0302778,37.2622321,87.03,51,45,7.47,2023-09-24 20:36:13
231,Fort McMurray,CA,56.7291997,-111.3885221,58.51,72,100,5.75,2023-09-24 20:36:13
232,Puerto Aysén,CL,-45.4068167,-72.6976787,33.6,99,64,3.22,2023-09-24 20:36:14
233,Nova Sintra,CV,14.871066,-24.6956479,76.21,81,97,11.32,2023-09-24 20:36:14
234,Lerwick,GB,60.1531357,-1.1427296,57.22,81,99,27.83,2023-09-24 20:36:15
235,Fortuna,US,40.597407,-124.156034,64.74,73,0,11.5,2023-09-24 20:36:15
236,Kataba,UG,0.2517144,32.3996511,64.96,87,92,2.64,2023-09-24 20:36:16
237,West Samoset,US,27.4694847,-82.5567636,77.7,83,75,9.22,2023-09-24 20:36:16
238,Launceston,AU,-41.4340813,147.1373496,66.25,68,40,10.36,2023-09-24 20:36:17
239,Chernyshevskiy,RU,63.0155918,112.4642349,55.6,68,37,6.02,2023-09-24 20:36:17
240,Brattleboro,US,42.8507588,-72.5572913,57.16,91,100,1.99,2023-09-24 20:36:18
241,Northam,GB,51.0505743,-4.211341809956307,59.72,94,9,15.3,2023-09-24 20:36:19
242,Whitehorse,CA,60.721571,-135.054932,41.36,85,100,3.44,2023-09-24 20:36:19
243,Palang,ID,-6.93788135,112.15738820984582,92.39,41,48,4.68,2023-09-24 20:36:20
244,Vilyuysk,RU,63.754082,121.626549,57.42,67,79,5.17,2023-09-24 20:36:20
245,Siquijor,PH,9.2155864,123.5138212,91.51,73,32,15.61,2023-09-24 20:36:21
246,Samara,RU,53.198627,50.113987,55.53,45,0,2.98,2023-09-24 20:36:21
247,Mar del Plata,AR,-37.9977225,-57.5482703,43.43,82,0,4.61,2023-09-24 20:36:22
248,Katsuura,JP,35.1521846,140.3207449,76.59,58,82,16.17,2023-09-24 20:36:22
249,Qaqortoq,GL,60.718202,-46.0385214,34.25,55,26,4.54,2023-09-24 20:36:23
250,Port Alfred,ZA,-33.5981844,26.8914772,66.38,91,100,25.23,2023-09-24 20:36:23
251,Tannum Sands,AU,-23.9911035,151.3808714828221,73.09,48,65,15.77,2023-09-24 20:36:24
252,Puerto San José,GT,13.9246126,-90.8191844,79.18,87,100,12.24,2023-09-24 20:36:25
253,Cinisi,IT,38.1549428,13.1098412,71.17,70,40,14.97,2023-09-24 20:36:25
254,Vukovar,HR,45.3444116,19.0023817,60.58,94,100,4.61,2023-09-24 20:36:26
255,Tazovsky,RU,67.4735321,78.7149206,46.71,97,100,15.95,2023-09-24 20:36:26
256,Kirensk,RU,57.776356,108.116295,52.61,85,99,7.54,2023-09-24 20:36:27
257,Muxía,ES,43.1071193,-9.2181926,63.81,90,80,1.61,2023-09-24 20:36:27
258,Caleta de Carquín,PE,-11.0918364,-77.6283049,65.97,87,84,9.51,2023-09-24 20:36:28
259,Iringa,TZ,-7.7790973,35.6970528,55.22,77,56,4.72,2023-09-24 20:36:29
260,Siguatepeque,HN,14.5978089,-87.8353071,65.75,95,98,1.97,2023-09-24 20:36:29
261,Mahina,FR,-17.55802755,-149.4694362416536,68.99,69,75,4.61,2023-09-24 20:36:30
262,Latur,IN,18.3983393,76.562087,73.15,89,100,6.42,2023-09-24 20:36:30
263,Daru,PG,-9.069901,143.210029,78.3,81,100,15.66,2023-09-24 20:36:31
264,Kampene,CD,-3.5942806,26.6683333,67.05,99,54,2.26,2023-09-24 20:36:31
265,Guabiraba,BR,-8.6716461,-35.7225868,70.36,97,50,0.43,2023-09-24 20:36:32
266,Glace Bay,CA,46.1949393,-59.9561999,51.06,92,40,6.91,2023-09-24 20:36:32
267,Dunedin,NZ,-45.8740984,170.5035755,51.8,58,3,8.99,2023-09-24 20:36:33
268,Ghat,LY,24.9626299,10.1797167,83.05,16,0,6.62,2023-09-24 20:36:33
269,Puerto Ayacucho,VE,5.6576119,-67.6043921,75.51,92,82,2.98,2023-09-24 20:36:34
270,Pyt'-Yakh,RU,60.755116,72.839981,55.18,81,12,6.17,2023-09-24 20:36:34
271,Al Azraq al Shamali,JO,31.8825,36.829722,71.89,50,0,7.78,2023-09-24 20:36:35
272,Moose Jaw,CA,50.401515,-105.542908,53.8,82,100,5.75,2023-09-24 20:36:36
273,Whangarei,NZ,-35.7275268,174.3194202,58.41,85,100,3.56,2023-09-24 20:36:36
274,Necochea,AR,-38.5545494,-58.7392624,41.16,69,31,2.26,2023-09-24 20:36:37
275,Opuwo,NA,-18.0550384,13.8387366,57.7,29,21,2.48,2023-09-24 20:36:37
276,Camocim,BR,-2.9009918,-40.8427389,77.29,88,4,12.44,2023-09-24 20:36:38
277,Guerrero Negro,MX,27.9709506,-114.036389,70.05,77,8,17.6,2023-09-24 20:36:38
278,Bonthe,SL,7.527274,-12.501955,77.45,87,98,5.57,2023-09-24 20:36:39
